benchmark,system,setting,instance,N,status,time,timeout,memout,error,models,clingo_total,grounding,solving,mem,choices,conflicts,restarts,rules,variables,atoms,constraints,decide_calls,lazy_active,avg_candidates_per_decide,max_candidates_seen,total_candidates_seen,total_decide_time_ms,total_prolog_query_time_ms,total_candidate_scan_time_ms,total_candidate_selection_time_ms,total_literal_lookup_time_ms,total_state_sync_time_ms,par2
HRP,clingo-prolog,gc,house-6,6,SATISFIABLE,0.04,0,0,0,1.0,0.014,0.014,0.0,0.0,36.0,3.0,0.0,9467.0,3272.0,931.0,17440.0,,,,,,,,,,,,0.04
HRP,clingo-prolog,gc,house-8,8,SATISFIABLE,0.05,0,0,0,1.0,0.025,0.025,0.0,0.0,68.0,18.0,0.0,20673.0,6316.0,1399.0,37168.0,,,,,,,,,,,,0.05
HRP,clingo-prolog,gc,house-10,10,SATISFIABLE,0.07,0,0,0,1.0,0.043,0.043,0.0,0.0,141.0,73.0,0.0,39439.0,10824.0,1955.0,68992.0,,,,,,,,,,,,0.07
HRP,clingo-prolog,gc,house-12,12,SATISFIABLE,0.11,0,0,0,1.0,0.079,0.069,0.01,0.0,799.0,364.0,3.0,68453.0,17084.0,2599.0,116560.0,,,,,,,,,,,,0.11
HRP,clingo-prolog,gc,house-14,14,SATISFIABLE,0.14,0,0,0,1.0,0.115,0.10500000000000001,0.01,24.0,571.0,216.0,2.0,110787.0,25384.0,3331.0,183904.0,,,,,,,,,,,,0.14
HRP,clingo-prolog,gc,house-16,16,SATISFIABLE,0.2,0,0,0,1.0,0.171,0.161,0.01,20.0,773.0,237.0,2.0,169897.0,36012.0,4151.0,275440.0,,,,,,,,,,,,0.2
HRP,clingo-prolog,gc,house-18,18,SATISFIABLE,0.29,0,0,0,1.0,0.259,0.23900000000000002,0.02,37.0,895.0,234.0,2.0,249623.0,49256.0,5059.0,395968.0,,,,,,,,,,,,0.29
HRP,clingo-prolog,gc,house-20,20,SATISFIABLE,0.43,0,0,0,1.0,0.392,0.342,0.05,52.0,2397.0,539.0,5.0,354189.0,65404.0,6055.0,550672.0,,,,,,,,,,,,0.43
HRP,clingo-prolog,gc_noheur,house-2,2,SATISFIABLE,0.03,0,0,0,1.0,0.003,0.003,0.0,0.0,7.0,1.0,0.0,418.0,206.0,130.0,785.0,,,,,,,,,,,,0.03
HRP,clingo-prolog,gc_noheur,house-4,4,SATISFIABLE,0.03,0,0,0,1.0,0.005,0.005,0.0,0.0,44.0,15.0,0.0,2386.0,938.0,428.0,4242.0,,,,,,,,,,,,0.03
HRP,clingo-prolog,gc_noheur,house-6,6,SATISFIABLE,0.04,0,0,0,1.0,0.01,0.01,0.0,0.0,177.0,104.0,1.0,5950.0,2104.0,718.0,10368.0,,,,,,,,,,,,0.04
HRP,clingo-prolog,gc_noheur,house-8,8,SATISFIABLE,0.04,0,0,0,1.0,0.019,0.019,0.0,0.0,456.0,248.0,3.0,12136.0,4074.0,1072.0,21426.0,,,,,,,,,,,,0.04
HRP,clingo-prolog,gc_noheur,house-10,10,SATISFIABLE,0.06,0,0,0,1.0,0.033,0.033,0.0,0.0,440.0,162.0,2.0,21634.0,7004.0,1490.0,38460.0,,,,,,,,,,,,0.06
HRP,clingo-prolog,gc_noheur,house-12,12,SATISFIABLE,0.07,0,0,0,1.0,0.044,0.033999999999999996,0.01,0.0,473.0,160.0,2.0,35164.0,11086.0,1972.0,62766.0,,,,,,,,,,,,0.07
HRP,clingo-prolog,gc_noheur,house-14,14,SATISFIABLE,0.09,0,0,0,1.0,0.064,0.054,0.01,0.0,705.0,162.0,2.0,53446.0,16512.0,2518.0,95640.0,,,,,,,,,,,,0.09
HRP,clingo-prolog,gc_noheur,house-16,16,SATISFIABLE,0.13,0,0,0,1.0,0.103,0.08299999999999999,0.02,24.0,1413.0,459.0,5.0,77200.0,23474.0,3128.0,138378.0,,,,,,,,,,,,0.13
HRP,clingo-prolog,gc_noheur,house-18,18,SATISFIABLE,0.17,0,0,0,1.0,0.144,0.12399999999999999,0.02,24.0,2144.0,411.0,4.0,107146.0,32164.0,3802.0,192276.0,,,,,,,,,,,,0.17
HRP,clingo-prolog,gc_noheur,house-20,20,SATISFIABLE,0.39,0,0,0,1.0,0.225,0.195,0.03,37.0,3105.0,456.0,5.0,144004.0,42774.0,4540.0,258630.0,,,,,,,,,,,,0.39
HRP,clingo-prolog,la,house-2,2,SATISFIABLE,0.06,0,0,0,1.0,0.035,0.035,0.0,0.0,12.0,0.0,0.0,559.0,295.0,186.0,1132.0,12.0,active,25.4167,54.0,305.0,1.88131,1.48587,0.164355,0.022066,0.021212,0.710252,0.06
HRP,clingo-prolog,la,house-4,4,SATISFIABLE,0.09,0,0,0,1.0,0.058,0.038000000000000006,0.02,0.0,26.0,0.0,0.0,3157.0,1200.0,561.0,5548.0,26.0,active,106.231,228.0,2762.0,14.7371,12.589,1.43903,0.229918,0.155847,2.431,0.09
HRP,clingo-prolog,la,house-6,6,SATISFIABLE,0.13,0,0,0,1.0,0.098,0.048,0.05,15.0,38.0,0.0,0.0,8605.0,2696.0,941.0,14368.0,38.0,active,198.105,442.0,7528.0,41.1438,35.7317,3.90753,0.70224,0.428464,4.22728,0.13
HRP,clingo-prolog,la,house-8,8,SATISFIABLE,0.19,0,0,0,1.0,0.165,0.07500000000000001,0.09,17.0,52.0,0.0,0.0,19091.0,5196.0,1409.0,31088.0,52.0,active,304.346,724.0,15826.0,87.0485,76.0221,8.43321,1.54474,1.02852,6.48283,0.19
HRP,clingo-prolog,la,house-10,10,SATISFIABLE,0.3,0,0,0,1.0,0.267,0.097,0.17,19.0,62.0,0.0,0.0,36841.0,8904.0,1965.0,58432.0,62.0,active,461.226,1074.0,28596.0,158.747,139.254,15.0554,2.84387,1.62995,9.54001,0.3
HRP,clingo-prolog,la,house-12,12,SATISFIABLE,0.46,0,0,0,1.0,0.434,0.134,0.3,22.0,74.0,0.0,0.0,64495.0,14060.0,2609.0,99760.0,74.0,active,632.459,1492.0,46802.0,283.435,250.983,25.2491,4.83815,3.24501,13.6733,0.46
HRP,clingo-prolog,la,house-14,14,SATISFIABLE,0.66,0,0,0,1.0,0.631,0.191,0.44,27.0,86.0,0.0,0.0,105077.0,20904.0,3341.0,158816.0,86.0,active,830.14,1978.0,71392.0,425.997,376.834,38.29,7.55369,5.28774,17.6545,0.66
HRP,clingo-prolog,la,house-16,16,SATISFIABLE,0.93,0,0,0,1.0,0.903,0.243,0.66,33.0,98.0,0.0,0.0,161995.0,29676.0,4161.0,239728.0,98.0,active,1054.27,2532.0,103318.0,630.407,559.775,54.8185,11.208,7.03115,22.8219,0.93
HRP,clingo-prolog,la,house-18,18,SATISFIABLE,1.35,0,0,0,1.0,1.299,0.33899999999999997,0.96,42.0,110.0,0.0,0.0,239041.0,40616.0,5069.0,347008.0,110.0,active,1304.84,3154.0,143532.0,926.048,827.173,77.4482,15.2314,10.5582,28.2991,1.35
HRP,clingo-prolog,la,house-20,20,SATISFIABLE,1.65,0,0,0,1.0,1.618,0.5880000000000001,1.03,50.0,106.0,0.0,0.0,340391.0,53964.0,6065.0,485552.0,106.0,active,1248.02,3844.0,132290.0,988.989,896.816,72.1808,14.1062,10.3957,34.3893,1.65
HRP,clingo-prolog,lc,house-2,2,SATISFIABLE,0.06,0,0,0,1.0,0.035,0.035,0.0,0.0,10.0,4.0,0.0,559.0,295.0,186.0,1132.0,10.0,active,20.6,34.0,206.0,1.28525,0.979661,0.111964,0.018477,0.015442,1.29102,0.06
HRP,clingo-prolog,lc,house-4,4,SATISFIABLE,0.09,0,0,0,1.0,0.062,0.041999999999999996,0.02,0.0,38.0,4.0,0.0,3157.0,1200.0,561.0,5548.0,38.0,active,72.8947,132.0,2770.0,15.7555,13.2872,1.47189,0.275167,0.172024,4.2309,0.09
HRP,clingo-prolog,lc,house-6,6,SATISFIABLE,0.16,0,0,0,1.0,0.134,0.054000000000000006,0.08,15.0,96.0,18.0,0.0,8605.0,2696.0,941.0,14368.0,96.0,active,107.208,250.0,10292.0,66.9245,58.7549,5.3473,1.03622,0.662557,11.8484,0.16
HRP,clingo-prolog,lc,house-8,8,SATISFIABLE,0.36,0,0,0,1.0,0.329,0.069,0.26,17.0,257.0,94.0,0.0,19091.0,5196.0,1409.0,31088.0,257.0,active,88.8482,404.0,22834.0,235.774,216.867,11.8203,2.37811,1.49065,20.4354,0.36
HRP,clingo-prolog,lc,house-10,10,SATISFIABLE,2.65,0,0,0,1.0,2.618,0.09799999999999986,2.52,19.0,1648.0,589.0,4.0,36841.0,8904.0,1965.0,58432.0,1648.0,active,126.847,594.0,209044.0,2343.39,2179.85,108.684,23.0846,13.3346,162.79,2.65
HRP,clingo-prolog,lc,house-12,12,SATISFIABLE,15.79,0,0,0,1.0,15.748,0.1379999999999999,15.61,22.0,6409.0,2737.0,14.0,64495.0,14060.0,2609.0,99760.0,6409.0,active,173.998,820.0,1115155.0,14677.8,13826.6,594.757,128.756,84.4532,857.813,15.79
HRP,clingo-prolog,lc,house-14,14,SATISFIABLE,267.99,0,0,0,1.0,267.953,0.18299999999999272,267.77,31.0,73143.0,41471.0,143.0,105077.0,20904.0,3341.0,158816.0,73143.0,active,238.681,1082.0,17457876.0,255063.0,242208.0,9207.17,2063.07,1242.92,11184.2,267.99
HRP,clingo-prolog,lc,house-16,16,UNKNOWN,300,1,0,0,0.0,299.987,0.2470000000000141,299.74,37.0,67271.0,31943.0,126.0,161995.0,29676.0,4161.0,239728.0,,inactive,,,,,,,,,,600
HRP,clingo-prolog,lc,house-18,18,UNKNOWN,300,1,0,0,0.0,299.988,0.3480000000000132,299.64,42.0,52937.0,19765.0,92.0,239041.0,40616.0,5069.0,347008.0,,inactive,,,,,,,,,,600
HRP,clingo-prolog,lc,house-20,20,UNKNOWN,300,1,0,0,0.0,299.988,0.4479999999999791,299.54,51.0,42806.0,14605.0,62.0,340391.0,53964.0,6065.0,485552.0,,inactive,,,,,,,,,,600
